community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00218_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00219_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00220_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00221_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00223_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00224_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00226_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00227_e	0.0	0.0	1	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00229_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00231_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00233_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00235_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00236_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00238_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00239_e	0.0	0.0	1	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00241_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00242_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00244_e	0.0	1.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00246_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00247_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00249_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00254_e	0.0	1.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00260_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00264_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00268_e	0.0	0.01	1	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00274_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00276_e	0.0	0.0	1	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00277_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00279_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00281_e	0.0	0.07	1	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00282_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00283_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00284_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00286_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00287_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00288_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00289_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00290_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00293_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00294_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00295_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00296_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00297_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00298_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00299_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00305_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00307_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00309_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00311_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00314_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00322_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00327_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00330_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00331_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00337_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00338_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00339_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00341_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00342_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00343_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00345_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00346_e	0.0	0.0	0	0.0
